Tipo de Objeto,Quantidade,Porcentagem (%)
car,7770,62.66129032258064
bus,1944,15.67741935483871
truck,441,3.556451612903226
person,1784,14.387096774193548
motorcycle,53,0.4274193548387097
bicycle,408,3.2903225806451615
